Variable,Range,Comparison,t_statistic,p_value,mean_difference
SilhouetteScore,132-141_142-151,Normal vs Apathy (Alpha 0.2),15.259305286648127,4.248558286233448e-15,0.018126578333333254
SilhouetteScore,132-141_142-151,Normal vs Apathy (Alpha 0.5),11.364823814076548,5.3144504078437475e-12,0.011027593133333251
SilhouetteScore,132-141_142-151,Normal vs Apathy (Alpha 0.8),6.3221825268668725,7.725120357133488e-07,0.0026355650733333215
SilhouetteScore,132-141_142-151,Alpha 0.2 vs Alpha 0.5,4.8243539211648185,4.483046258496809e-05,
SilhouetteScore,132-141_142-151,Alpha 0.2 vs Alpha 0.8,13.093681128761366,1.8522614639709383e-13,
SilhouetteScore,132-141_142-151,Alpha 0.5 vs Alpha 0.8,7.801962440369734,1.6897400462009447e-08,
SilhouetteScore,132-141_242-251,Normal vs Apathy (Alpha 0.2),6.47677003697511,5.124101910846872e-07,0.014099414466666654
SilhouetteScore,132-141_242-251,Normal vs Apathy (Alpha 0.5),8.912207848525227,1.1473189566749104e-09,0.00689195306666664
SilhouetteScore,132-141_242-251,Normal vs Apathy (Alpha 0.8),-2.396423711235525,0.02347777060173858,-0.001552509646666693
SilhouetteScore,132-141_242-251,Alpha 0.2 vs Alpha 0.5,3.417828469648939,0.00195066571032125,
SilhouetteScore,132-141_242-251,Alpha 0.2 vs Alpha 0.8,7.4239306096844695,4.378477479970007e-08,
SilhouetteScore,132-141_242-251,Alpha 0.5 vs Alpha 0.8,8.169265226975565,6.817372713088626e-09,
NMI,132-141_142-151,Normal vs Apathy (Alpha 0.2),4.7979784328452695,4.818178658340671e-05,0.04359382248676352
NMI,132-141_142-151,Normal vs Apathy (Alpha 0.5),4.357683856425381,0.0001600001502042015,0.025962621293149267
NMI,132-141_142-151,Normal vs Apathy (Alpha 0.8),0.7185176184157166,0.4783916377861076,0.005592692593911208
NMI,132-141_142-151,Alpha 0.2 vs Alpha 0.5,1.667061519215392,0.10665085739092706,
